Date,Protein,Carb,Fibre,Sugar,Fat,Weight,Period,Calories_In,Calories_Out
05/04/2024,90,190,37,51,114,64.5,NP,2123,395
04/04/2024,94,385,31,111,110,64.2,NP,3155,663
03/04/2024,75,221,36,62,94,64,NP,2204,379
02/04/2024,70,168,28,32,92,64.8,NP,1771,605
01/04/2024,59,276,23,107,164,64.1,NP,2735,466
31/03/2024,51,284,26,113,149,64.3,NP,2618,792
30/03/2024,56,231,29,75,76,65,NP,1830,571
29/03/2024,68,284,22,68,78,65.3,NP,2017,748
28/03/2024,65,214,24,50,92,65.9,NP,1821,557
27/03/2024,67,264,46,62,79,65.6,NP,1897,255
26/03/2024,71,378,28,159,125,64.8,P,2912,885
25/03/2024,93,412,41,161,122,65.4,NP,3086,472
24/03/2024,42,125,16,33,48,64.2,NP,1576,857
23/03/2024,75,271,26,38,62,65.8,NP,1948,573
22/03/2024,54,32,27,154,56,66.1,NP,1322,530
21/03/2024,34,137,16,55,58,68,NP,1588,39
20/03/2024,,,,,,,NP,,37
19/03/2024,,,,,,,NP,,293
18/03/2024,40,162,23,19,55,64.9,NP,1292,397
17/03/2024,48,143,12,28,36,,NP,1053,187
16/03/2024,85,422,40,62,147,,NP,3244,770
15/03/2024,71,305,47,62,91,65.1,NP,2938,700
14/03/2024,46,242,36,77,45,,NP,1657,418
13/03/2024,75,212,22,73,75,65.8,NP,1964,784
12/03/2024,65,241,25,43,60,65.8,O,1775,816
11/03/2024,72,207,25,52,66,65.9,NP,1733,519
10/03/2024,82,230,25,52,66,66.1,NP,1864,948
09/03/2024,75,205,19,68,97,66.3,NP,1985,789
08/03/2024,60,237,23,39,58,66.2,NP,1652,927
07/03/2024,38,193,19,19,31,67.2,NP,1197,720
06/03/2024,52,239,33,43,65,67.1,NP,1761,783
05/03/2024,62,193,17,44,56,67.4,NP,1507,337
04/03/2024,68,188,22,54,62,67.8,NP,1581,611
03/03/2024,80,211,15,12,98,68.4,NP,2178,147
02/03/2024,65,325,15,73,72,66.3,NP,2361,822
01/03/2024,45,162,30,23,57,66.3,NP,1591,634
29/02/2024,40,154,21,14,56,66.3,NP,1249,588
28/02/2024,31,140,19,25,52,66,NP,1114,763
27/02/2024,45,157,18,45,57,66.9,NP,1293,694
26/02/2024,55,183,25,36,68,67.3,NP,1477,385
25/02/2024,57,181,31,55,78,67.5,P,1555,751
24/02/2024,55,174,20,24,65,67.5,P,1477,752
23/02/2024,58,150,12,55,78,66.9,P,1520,426
22/02/2024,73,143,16,26,74,67.5,P,1522,
21/02/2024,54,175,18,44,72,67.3,NP,1542,817
20/02/2024,78,177,24,58,90,67.1,NP,1789,541
19/02/2024,53,179,24,43,89,67.3,NP,1768,504
18/02/2024,55,204,24,26,72,67.8,NP,1814,854
17/02/2024,56,204,22,74,88,68.1,NP,1809,710
16/02/2024,74,164,14,61,51,67.7,NP,1439,582
15/02/2024,44,161,34,58,65,67.4,NP,1662,253
14/02/2024,55,177,31,41,83,67.1,NP,1644,771
13/02/2024,45,233,26,47,58,68.3,NP,1609,927
12/02/2024,43,151,23,41,66,67.9,NP,1373,357
11/02/2024,97,257,57,47,67,69.6,NP,1933,1012
10/02/2024,81,223,37,42,35,68.2,NP,1651,457
09/02/2024,58,173,22,26,26,68.7,NP,1260,718
08/02/2024,55,140,30,40,47,69,O,1276,558
07/02/2024,38,189,19,90,53,,NP,1364,672
06/02/2024,46,222,27,62,77,68.8,NP,1751,347
05/02/2024,84,180,28,26,79,68.9,NP,1696,686
04/02/2024,63,134,25,25,70,69,NP,1379,779
03/02/2024,43,130,24,38,45,69.1,NP,1043,483
02/02/2024,58,182,31,29,47,70.7,NP,1368,525
01/02/2024,52,122,23,34,47,69.8,NP,1161,552
31/01/2024,54,199,24,35,33,69.9,NP,1320,714
30/01/2024,80,228,25,39,59,69.9,NP,1745,964
29/01/2024,54,242,23,73,19,71,NP,1183,643
28/01/2024,32,194,15,36,39,70.4,NP,1238,736
27/01/2024,42,146,22,22,41,70.7,NP,1048,671
26/01/2024,73,246,26,34,58,71.1,NP,1713,678
25/01/2024,46,200,27,54,57,71.2,P,1449,639
24/01/2024,75,175,21,57,46,71.4,P,1412,893
23/01/2024,63,241,33,71,35,71.8,P,1495,672
22/01/2024,49,164,27,55,51,72.3,P,1269,574
21/01/2024,63,231,35,68,49,72.5,NP,1579,757
20/01/2024,55,323,24,121,60,71.7,NP,2154,348
19/01/2024,68,233,24,59,41,71.5,NP,1381,760
18/01/2024,52,131,20,10,56,71.8,NP,1055,331
17/01/2024,34,190,29,52,22,72.2,NP,1150,655
16/01/2024,52,189,24,73,52,71.8,NP,1418,496
15/01/2024,76,233,20,56,56,70.5,NP,1800,847
14/01/2024,39,162,21,24,30,72.6,NP,1054,808
13/01/2024,44,198,14,45,73,73,NP,1647,561
12/01/2024,66,179,36,38,42,71.8,NP,1344,591
11/01/2024,53,110,22,15,56,72.2,NP,1187,880
10/01/2024,42,160,24,25,51,73.3,NP,1350,130
09/01/2024,61,209,49,45,47,72.9,NP,1568,422
08/01/2024,37,147,21,22,31,73.1,NP,1019,176
07/01/2024,60,157,25,38,49,73.6,NP,1654,92
06/01/2024,29,160,13,43,34,75.2,NP,1074,498
05/01/2024,91,164,18,63,64,73.7,NP,1665,366
04/01/2024,73,153,22,38,38,74.7,NP,1566,574
03/01/2024,43,252,32,53,44,74.2,NP,1618,268
02/01/2024,42,226,34,32,33,74.8,NP,1709,577
01/01/2024,40,314,16,100,35,74.3,NP,1764,186
31/12/2023,39,223,27,81,62,73.7,NP,2141,1079
30/12/2023,59,162,14,38,80,74.5,NP,1685,772
29/12/2023,,,,,,75,NP,,429
28/12/2023,,,,,,,NP,,424
27/12/2023,,,,,,,NP,,171
26/12/2023,,,,,,,NP,,567
25/12/2023,,,,,,,NP,,137
24/12/2023,,,,,,,P,,834
23/12/2023,,,,,,,P,,276
22/12/2023,,,,,,,P,,237
21/12/2023,,,,,,,P,,501
20/12/2023,,,,,,,NP,,204
19/12/2023,,,,,,,NP,,647
18/12/2023,,,,,,,NP,,250
17/12/2023,,,,,,,NP,,961
16/12/2023,,,,,,,NP,,199
15/12/2023,,,,,,,NP,,537
14/12/2023,,,,,,,NP,,53
13/12/2023,,,,,,,NP,,347
12/12/2023,,,,,,,NP,,14
11/12/2023,,,,,,,NP,,319
10/12/2023,,,,,,,NP,,213
09/12/2023,,,,,,,NP,,469
08/12/2023,,,,,,,NP,,195
07/12/2023,,,,,,,O,,100
06/12/2023,,,,,,,NP,,161
05/12/2023,,,,,,,NP,,300
04/12/2023,,,,,,,NP,,401
03/12/2023,,,,,,,NP,,3151
02/12/2023,,,,,,,NP,,557
01/12/2023,,,,,,,NP,,244
30/11/2023,,,,,,,NP,,288
29/11/2023,,,,,,,NP,,664
28/11/2023,,,,,,,NP,,26
27/11/2023,,,,,,,NP,,108
26/11/2023,,,,,,,NP,,675
25/11/2023,,,,,,,NP,,172
24/11/2023,,,,,,,NP,,56
23/11/2023,,,,,,,NP,,91
22/11/2023,,,,,,,P,,34
21/11/2023,,,,,,,P,,485
20/11/2023,,,,,,,P,,204
19/11/2023,,,,,,,P,,1394
18/11/2023,,,,,,,NP,,365
17/11/2023,,,,,,,NP,,597
16/11/2023,,,,,,,NP,,129
15/11/2023,,,,,,,NP,,695
14/11/2023,,,,,,,NP,,396
13/11/2023,,,,,,,NP,,1302
12/11/2023,,,,,,,NP,,312
11/11/2023,,,,,,,NP,,1011
10/11/2023,,,,,,,NP,,419
09/11/2023,,,,,,,NP,,829
08/11/2023,,,,,,,NP,,102
07/11/2023,,,,,,,NP,,541
06/11/2023,,,,,,,NP,,185
05/11/2023,,,,,,,O,,2255
04/11/2023,,,,,,,NP,,512
03/11/2023,,,,,,,NP,,714
02/11/2023,,,,,,,NP,,853
01/11/2023,,,,,,,NP,,588
